ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-00114,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.178371783422536,100.54973295652538",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00115,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.178537562064673,100.54528216195811",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00116,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.181452515720977,100.55193058602781",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00117,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.189393333091747,100.5678718850934",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00118,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.188134417369394,100.5529951647951",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00119,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.189906189693426,100.55141797724141",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00120,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.193114908082265,100.55240402561465",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00121,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.192029240038414,100.54905684371305",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00122,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.186499674720165,100.55418842305743",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00123,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.185254694648401,100.55103000583013",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00124,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.17289861067474,100.56076055975218",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00125,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.170912151875248,100.5580313988568",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00126,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.17485930649733,100.56216885837597",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00127,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.177615467379859,100.55820413341402",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00128,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.170984419695246,100.56011666818006",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00129,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.172621355683168,100.56380230980484",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00130,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.17321845706606,100.55326418889128",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00131,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.173093771460412,100.55030417020136",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00132,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.17693687493674,100.55473747355565",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00133,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.175750927107165,100.54846211132718",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00134,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.1702728122405,100.55415226581454",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
EXT-00135,{น้ำท่วม},GISTDA,น้ำท่วม | พท. (ตร.ม.): ,,,"14.173481808238837,100.55447030476084",,,,กรุงเทพมหานคร,2025-11-19T18:44:39.806Z,,0,0,2025-11-20T21:01:31.521009
