ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-01104,{น้ำท่วม},Bangkok Flood Report,ถนนหัวหมาก (รามคำแหง 24) | รายละเอียด: ,,,"13.75300026,100.6196365",ถนนหัวหมาก (รามคำแหง 24),,บางกะปิ,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01105,{น้ำท่วม},Bangkok Flood Report,ถนนนวมินทร์ จากแยกบางกะปิ ถึงสถานีตำรวจนครบาลลาดพร้าว | รายละเอียด: ,,,"13.7677784,100.6477203",ถนนนวมินทร์ จากแยกบางกะปิ ถึงสถานีตำรวจนครบาลลาดพร้าว,,บางกะปิ,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01106,{น้ำท่วม},Bangkok Flood Report,ถนนรามคำแหง จากซอยรามคำแหง 12 ถึงซอยรามคำแหง 24 (ขาเข้า) | รายละเอียด: ,,,"13.75383282,100.6121826",ถนนรามคำแหง จากซอยรามคำแหง 12 ถึงซอยรามคำแหง 24 (ขาเข้า),,บางกะปิ,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01107,{น้ำท่วม},Bangkok Flood Report,ถนนรามคำแหง จากซอยรามคำแหง 19 ถึงซอยรามคำแหง 39 | รายละเอียด: ,,,"13.75463867,100.6126633",ถนนรามคำแหง จากซอยรามคำแหง 19 ถึงซอยรามคำแหง 39,,บางกะปิ,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01108,{น้ำท่วม},Bangkok Flood Report,ถนนพระรามที่ 1 หน้าห้างมาบุญครอง - หน้าสนามกีฬาแห่งชาติ | รายละเอียด: ,,,"13.74632454,100.529808",ถนนพระรามที่ 1 หน้าห้างมาบุญครอง - หน้าสนามกีฬาแห่งชาติ,,ปทุมวัน,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,อยู่ระหว่างดำเนินการแก้ไข,0,0,2025-11-23T22:42:47.328010
EXT-01109,{น้ำท่วม},Bangkok Flood Report,ถนนพระรามที่ 1 ใต้สถานีรถไฟฟ้าสยาม | รายละเอียด: ,,,"13.74564171,100.5341187",ถนนพระรามที่ 1 ใต้สถานีรถไฟฟ้าสยาม,,บางรัก,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01110,{น้ำท่วม},Bangkok Flood Report,ถนนวชิรธรรมสาธิต จากถนนสุขุมวิท ถึงซอยวชิรธรรมสาธิต 34 | รายละเอียด: ,,,"13.68431568,100.6245117",ถนนวชิรธรรมสาธิต จากถนนสุขุมวิท ถึงซอยวชิรธรรมสาธิต 34,,พระโขนง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01111,{น้ำท่วม},Bangkok Flood Report,ถนนวชิรธรรมสาธิต (สุขุมวิท 101/1) ช่วง 3 แยกตัดซอยวัดทุ่ง | รายละเอียด: ,,,"13.68646622,100.6226196",ถนนวชิรธรรมสาธิต (สุขุมวิท 101/1) ช่วง 3 แยกตัดซอยวัดทุ่ง,,พระโขนง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01112,{น้ำท่วม},Bangkok Flood Report,ถนนสีหบุรานุกิจ บริเวณจุดกลับรถใต้สะพานข้ามคลองสามวา | รายละเอียด: ,,,"13.81256104,100.729538",ถนนสีหบุรานุกิจ บริเวณจุดกลับรถใต้สะพานข้ามคลองสามวา,,มีนบุรี,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01113,{น้ำท่วม},Bangkok Flood Report,ถนนเจ้าคุณทหาร จากถนนฉลองกรุง ถึงคลองสาม | รายละเอียด: ,,,"13.75311089,100.7720261",ถนนเจ้าคุณทหาร จากถนนฉลองกรุง ถึงคลองสาม,,ลาดกระบัง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01114,{น้ำท่วม},Bangkok Flood Report,ถนนฉลองกรุง จากซอยฉลองกรุง 8 ถึงทางมอเตอร์เวย์ | รายละเอียด: ,,,"13.73672199,100.7885818",ถนนฉลองกรุง จากซอยฉลองกรุง 8 ถึงทางมอเตอร์เวย์,,ลาดกระบัง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01115,{น้ำท่วม},Bangkok Flood Report,ถนนลาดกระบัง จากแยกกิ่งแก้ว ถึงซอยลาดกระบัง 26 | รายละเอียด: ,,,"13.72241688,100.7393646",ถนนลาดกระบัง จากแยกกิ่งแก้ว ถึงซอยลาดกระบัง 26,,ลาดกระบัง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01116,{น้ำท่วม},Bangkok Flood Report,ถนนหลวงแพ่ง จากโรงเรียนแสงหิรัญวิทยา ถึงใต้สะพานมอเตอร์เวย์ | รายละเอียด: ,,,"13.71269417,100.8149185",ถนนหลวงแพ่ง จากโรงเรียนแสงหิรัญวิทยา ถึงใต้สะพานมอเตอร์เวย์,,ลาดกระบัง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01117,{น้ำท่วม},Bangkok Flood Report,ถนนหลวงแพ่ง หน้าโลตัสลาดกระบัง | รายละเอียด: ,,,"13.72099972,100.7929993",ถนนหลวงแพ่ง หน้าโลตัสลาดกระบัง,,ลาดกระบัง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จบางส่วน,0,0,2025-11-23T22:42:47.328010
EXT-01118,{น้ำท่วม},Bangkok Flood Report,ถนนหลวงแพ่ง จากโรงเรียนแสงหิรัญวิทยา ถึงทางเข้ามอเตอร์เวย์สาย 7 | รายละเอียด: ,,,"13.7133894,100.8130798",ถนนหลวงแพ่ง จากโรงเรียนแสงหิรัญวิทยา ถึงทางเข้ามอเตอร์เวย์สาย 7,,ลาดกระบัง,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
EXT-01119,{น้ำท่วม},Bangkok Flood Report,ถนนสาธุประดิษฐ์จากถนนจันทน์ถึงถนนรัชดาภิเษก | รายละเอียด: ,,,"13.70096397,100.5306396",ถนนสาธุประดิษฐ์จากถนนจันทน์ถึงถนนรัชดาภิเษก,,ยานนาวา,กรุงเทพมหานคร,2025-11-23T22:42:47.327897,แก้ไขแล้วเสร็จ,0,0,2025-11-23T22:42:47.328010
