ticket_id,type,organization,comment,photo,photo_after,coords,address,subdistrict,district,province,timestamp,state,star,count_reopen,last_activity
EXT-00015,{PM2.5},Air4Thai,สถานี: สำนักงานเขตบางแค | PM2.5: - (AQI -) | PM10: 49 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.696314,100.409049","เขตบางแค, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332054,open,0,0,2025-11-23T22:51:54.332055
EXT-00016,{PM2.5},Air4Thai,สถานี: สำนักงานเขตบางขุนเทียน | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.659908,100.435902","ริมถนนพระราม 2 เขตบางขุนเทียน, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332058,open,0,0,2025-11-23T22:51:54.332059
EXT-00017,{PM2.5},Air4Thai,สถานี: สำนักงานเขตบางคอแหลม (Mobile) | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-03-20 04:00,,,"13.69304,100.50244","เขตบางคอแหลม, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332062,open,0,0,2025-11-23T22:51:54.332063
EXT-00018,{PM2.5},Air4Thai,สถานี: สวนลุมพินี ถนนพระราม 4 แขวงวังใหม่ เขตปทุมวัน | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 20:00,,,"13.732225,100.5448381",สวนลุมพินี เขตปทุมวัน,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332067,open,0,0,2025-11-23T22:51:54.332068
EXT-00019,{PM2.5},Air4Thai,สถานี: สวนจตุจักร ถนนพหลโยธิน แขวงจตุจักร เขตจตุจักร | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.802546,100.5509191",สวนจตุจักร เขตจตุจักร,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332071,open,0,0,2025-11-23T22:51:54.332072
EXT-00020,{PM2.5},Air4Thai,สถานี: สวนหลวง ร.9 ถนนเฉลิมพระเกียรติ ร.9 แขวงหนองบอน เขตประเวศ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.6881393,100.6579657",สวนหลวง ร.9 เขตประเวศ,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332075,open,0,0,2025-11-23T22:51:54.332076
EXT-00021,{PM2.5},Air4Thai,สถานี: สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ ถนนเคหะร่มเกล้า เขตลาดกระบัง | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7631141,100.7302101",สวน 60 พรรษาสมเด็จพระนางเจ้าพระบรมราชินีนาถ เขตลาดกระบัง,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332079,open,0,0,2025-11-23T22:51:54.332080
EXT-00022,{PM2.5},Air4Thai,สถานี: อุทยานเบญจสิริ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7304916,100.5684634",อุทยานเบญจสิริ เขตคลองเตย,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332083,open,0,0,2025-11-23T22:51:54.332084
EXT-00023,{PM2.5},Air4Thai,สถานี: สวนรมณีย์ทุ่งสีกัน | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.9288678,100.5684666",สวนรมณีย์ทุ่งสีกัน เขตดอนเมือง,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332087,open,0,0,2025-11-23T22:51:54.332088
EXT-00024,{PM2.5},Air4Thai,สถานี: สวนธนบุรีรมย์ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.6502295,100.4909771",สวนธนบุรีรมย์ เขตทุ่งครุ,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332092,open,0,0,2025-11-23T22:51:54.332092
EXT-00025,{PM2.5},Air4Thai,สถานี: สวนเบญจกิติ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7328791,100.5600172",สวนเบญจกิติ เขตคลองเตย,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332095,open,0,0,2025-11-23T22:51:54.332096
EXT-00026,{PM2.5},Air4Thai,สถานี: สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.8055472,100.5488338",สวนสมเด็จพระนางเจ้าสิริกิติ์ฯ เขตจตุจักร,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332099,open,0,0,2025-11-23T22:51:54.332100
EXT-00027,{PM2.5},Air4Thai,สถานี: สวนเฉลิมพระเกียรติ 80 พรรษา | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7716446,100.4681128",สวนเฉลิมพระเกียรติ 80 พรรษา เขตบางกอกน้อย,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332103,open,0,0,2025-11-23T22:51:54.332104
EXT-00028,{PM2.5},Air4Thai,สถานี: สวนเสรีไทย | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7855673,100.6733359",สวนเสรีไทย เขตบึงกุ่ม,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332108,open,0,0,2025-11-23T22:51:54.332108
EXT-00029,{PM2.5},Air4Thai,สถานี: สวนบางแคภิรมย์ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.6863478,100.3844036",สวนบางแคภิรมย์ เขตบางแค,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332112,open,0,0,2025-11-23T22:51:54.332112
EXT-00030,{PM2.5},Air4Thai,สถานี: สวนทวีวนารมย์ | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7435329,100.3526893",สวนทวีวนารมย์ เขตทวีวัฒนา,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332116,open,0,0,2025-11-23T22:51:54.332116
EXT-00031,{PM2.5},Air4Thai,สถานี: สวนพระนคร | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7201042,100.7807077",สวนพระนคร เขตลาดกระบัง,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332120,open,0,0,2025-11-23T22:51:54.332120
EXT-00032,{PM2.5},Air4Thai,สถานี: สวนหนองจอก | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.855656,100.8585539",สวนหนองจอก เขตหนองจอก,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332123,open,0,0,2025-11-23T22:51:54.332124
EXT-00033,{PM2.5},Air4Thai,สถานี: สวนกีฬารามอินทรา | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.8778763,100.6207085",สวนกีฬารามอินทรา เขตบางเขน,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332127,open,0,0,2025-11-23T22:51:54.332128
EXT-00034,{PM2.5},Air4Thai,สถานี: สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.697252,100.497185",สวนสาธารณะเฉลิมพระเกียรติ 6 รอบพระชนมพรรษา เขตบางคอแหลม,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332131,open,0,0,2025-11-23T22:51:54.332132
EXT-00035,{PM2.5},Air4Thai,สถานี: สวนหลวงพระราม 8 | PM2.5: - (AQI -) | PM10: -1 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7693437,100.4945337",สวนหลวงพระราม 8 เขตบางพลัด,,,กรุงเทพมหานคร,2025-11-23T22:51:54.332136,open,0,0,2025-11-23T22:51:54.332137
EXT-00036,{PM2.5},Air4Thai,สถานี: สำนักงานเขตดินแดง กรุงเทพฯ | PM2.5: - (AQI -) | PM10: 80 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7619223,100.558606","ริมถนนวิภาวดีรังสิต, เขตดินแดง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332140,open,0,0,2025-11-23T22:51:54.332141
EXT-00037,{PM2.5},Air4Thai,สถานี: สำนักงานเขตพระโขนง กรุงเทพฯ | PM2.5: - (AQI -) | PM10: 72 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.691511,100.61457","ริมถนนสุขุมวิท เขตพระโขนง, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332144,open,0,0,2025-11-23T22:51:54.332145
EXT-00038,{PM2.5},Air4Thai,สถานี: สำนักงานเขตราษฎร์บูรณะ กรุงเทพฯ | PM2.5: - (AQI -) | PM10: 57 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.6821364,100.5060513","ริมถนนราษฎร์บูรณะ, เขตราษฎร์บูรณะ, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332148,open,0,0,2025-11-23T22:51:54.332149
EXT-00039,{PM2.5},Air4Thai,สถานี: สำนักงานเขตราชเทวี กรุงเทพฯ | PM2.5: - (AQI -) | PM10: 41 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.7590851,100.5345788","ริมถนนพญาไท เขตราชเทวี, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332152,open,0,0,2025-11-23T22:51:54.332152
EXT-00040,{PM2.5},Air4Thai,สถานี: ริมสวนหย่อมตรงข้ามสำนักงานเขตดุสิต | PM2.5: - (AQI -) | PM10: 51 | CO: -1 | O3: -1 | NO2: -1 | SO2: -1 | เวลา: 2025-11-23 22:00,,,"13.776664,100.520982","ริมถนนพระราม 5 เขตดุสิต, กรุงเทพฯ",,,กรุงเทพมหานคร,2025-11-23T22:51:54.332155,open,0,0,2025-11-23T22:51:54.332156
